country_id,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
USA,19.39821,-155.29439,341.38,1.58,1.24,2025-01-09,54,Aqua,MODIS,91,6.1NRT,318.0,60.9,D
USA,19.40006,-155.27957,339.87,1.58,1.24,2025-01-09,54,Aqua,MODIS,64,6.1NRT,318.24,59.94,D
USA,19.40148,-155.28554,352.38,1.58,1.24,2025-01-09,54,Aqua,MODIS,96,6.1NRT,323.84,111.01,D
USA,34.04495,-118.53627,327.09,1.28,1.12,2025-01-09,520,Terra,MODIS,68,6.1NRT,289.68,34.15,N
USA,34.06742,-118.61735,336.14,1.27,1.12,2025-01-09,520,Terra,MODIS,100,6.1NRT,284.44,54.94,N
USA,34.06892,-118.60365,339.0,1.27,1.12,2025-01-09,520,Terra,MODIS,100,6.1NRT,285.8,61.67,N
USA,34.07003,-118.68489,315.78,1.26,1.11,2025-01-09,520,Terra,MODIS,64,6.1NRT,282.66,21.03,N
USA,34.07139,-118.67247,345.43,1.26,1.11,2025-01-09,520,Terra,MODIS,100,6.1NRT,287.03,75.7,N
USA,34.07343,-118.56203,339.8,1.28,1.12,2025-01-09,520,Terra,MODIS,100,6.1NRT,287.65,61.92,N
USA,34.07721,-118.6194,334.89,1.27,1.12,2025-01-09,520,Terra,MODIS,100,6.1NRT,283.39,52.65,N
USA,34.07779,-118.52175,322.5,1.28,1.12,2025-01-09,520,Terra,MODIS,100,6.1NRT,286.95,29.2,N
USA,34.07881,-118.60478,323.53,1.27,1.12,2025-01-09,520,Terra,MODIS,100,6.1NRT,284.73,32.53,N
USA,34.07929,-118.50784,309.53,1.28,1.12,2025-01-09,520,Terra,MODIS,78,6.1NRT,285.61,15.15,N
USA,34.08033,-118.59084,357.1,1.27,1.12,2025-01-09,520,Terra,MODIS,100,6.1NRT,290.36,114.19,N
USA,34.08122,-118.67377,306.79,1.26,1.11,2025-01-09,520,Terra,MODIS,33,6.1NRT,282.87,12.55,N
USA,34.08179,-118.57743,382.96,1.27,1.12,2025-01-09,520,Terra,MODIS,100,6.1NRT,295.91,237.39,N
USA,34.08327,-118.56387,344.42,1.28,1.12,2025-01-09,520,Terra,MODIS,100,6.1NRT,290.11,73.96,N
USA,34.08613,-118.53756,361.92,1.28,1.12,2025-01-09,520,Terra,MODIS,100,6.1NRT,296.27,131.77,N
USA,34.08767,-118.52337,351.68,1.28,1.12,2025-01-09,520,Terra,MODIS,100,6.1NRT,294.58,95.79,N
USA,34.09015,-118.59266,330.88,1.27,1.12,2025-01-09,520,Terra,MODIS,100,6.1NRT,283.47,45.13,N
USA,34.09162,-118.57928,314.75,1.27,1.12,2025-01-09,520,Terra,MODIS,71,6.1NRT,283.14,19.93,N
USA,34.09309,-118.5659,315.17,1.28,1.12,2025-01-09,520,Terra,MODIS,72,6.1NRT,285.18,20.24,N
USA,34.09447,-118.5532,358.06,1.28,1.12,2025-01-09,520,Terra,MODIS,100,6.1NRT,290.52,117.4,N
USA,34.09599,-118.5393,406.37,1.28,1.12,2025-01-09,520,Terra,MODIS,100,6.1NRT,298.34,422.11,N
USA,34.09753,-118.52528,383.72,1.28,1.12,2025-01-09,520,Terra,MODIS,100,6.1NRT,290.96,244.73,N
USA,34.18195,-118.027,301.14,1.37,1.16,2025-01-09,520,Terra,MODIS,38,6.1NRT,282.73,10.81,N
USA,34.18963,-118.13521,317.82,1.35,1.15,2025-01-09,520,Terra,MODIS,47,6.1NRT,286.74,26.01,N
USA,34.21679,-118.07224,304.98,1.36,1.16,2025-01-09,520,Terra,MODIS,13,6.1NRT,279.48,13.35,N
USA,34.21839,-118.1555,303.83,1.35,1.15,2025-01-09,520,Terra,MODIS,43,6.1NRT,281.84,12.94,N
USA,40.49093,-123.7383,315.37,1.0,1.0,2025-01-09,522,Terra,MODIS,91,6.1NRT,281.1,17.09,N
USA,25.99456,-81.0667,303.53,1.0,1.0,2025-01-09,807,Aqua,MODIS,56,6.1NRT,280.59,9.07,N
USA,34.0744,-118.66127,308.52,2.82,1.6,2025-01-09,1121,Aqua,MODIS,75,6.1NRT,284.32,51.99,N
USA,34.08121,-118.56149,323.55,2.86,1.61,2025-01-09,1121,Aqua,MODIS,100,6.1NRT,286.65,104.45,N
USA,34.08588,-118.55616,317.82,2.86,1.61,2025-01-09,1121,Aqua,MODIS,96,6.1NRT,285.91,82.27,N
USA,34.08776,-118.59034,324.98,2.84,1.61,2025-01-09,1121,Aqua,MODIS,100,6.1NRT,284.34,111.39,N
USA,34.08843,-118.52795,317.21,2.87,1.62,2025-01-09,1121,Aqua,MODIS,95,6.1NRT,286.32,80.01,N
USA,34.09245,-118.58432,320.2,2.84,1.61,2025-01-09,1121,Aqua,MODIS,100,6.1NRT,284.11,93.28,N
USA,34.09276,-118.522,358.88,2.87,1.62,2025-01-09,1121,Aqua,MODIS,100,6.1NRT,290.01,400.68,N
USA,34.09543,-118.55893,304.37,2.86,1.61,2025-01-09,1121,Aqua,MODIS,27,6.1NRT,283.76,35.44,N
USA,34.09566,-118.49423,308.41,2.88,1.62,2025-01-09,1121,Aqua,MODIS,74,6.1NRT,283.69,51.38,N
USA,34.10005,-118.55336,318.56,2.86,1.61,2025-01-09,1121,Aqua,MODIS,97,6.1NRT,284.72,87.73,N
USA,34.10242,-118.52427,355.01,2.87,1.62,2025-01-09,1121,Aqua,MODIS,100,6.1NRT,288.22,354.85,N
USA,27.70435,-81.24603,307.57,2.32,1.47,2025-01-09,1543,Terra,MODIS,66,6.1NRT,284.52,34.05,D
USA,28.63466,-81.71462,312.53,2.05,1.39,2025-01-09,1543,Terra,MODIS,63,6.1NRT,283.25,39.36,D
USA,29.56829,-81.78704,300.08,1.93,1.36,2025-01-09,1543,Terra,MODIS,26,6.1NRT,279.11,19.26,D
USA,29.74046,-82.56928,303.94,1.7,1.28,2025-01-09,1543,Terra,MODIS,58,6.1NRT,280.95,18.32,D
USA,29.84561,-83.01935,309.88,1.58,1.24,2025-01-09,1543,Terra,MODIS,69,6.1NRT,279.28,25.95,D
USA,29.84756,-83.01267,314.37,1.58,1.24,2025-01-09,1543,Terra,MODIS,75,6.1NRT,279.87,31.03,D
USA,30.05295,-83.19946,304.75,1.53,1.22,2025-01-09,1543,Terra,MODIS,60,6.1NRT,280.27,17.13,D
USA,30.0801,-83.59333,307.91,1.44,1.19,2025-01-09,1543,Terra,MODIS,66,6.1NRT,280.64,18.54,D
USA,30.31214,-86.05703,301.39,1.08,1.04,2025-01-09,1543,Terra,MODIS,44,6.1NRT,279.31,8.94,D
USA,30.33961,-83.60293,312.7,1.42,1.18,2025-01-09,1543,Terra,MODIS,73,6.1NRT,280.17,25.07,D
USA,30.37862,-84.34702,308.44,1.29,1.13,2025-01-09,1543,Terra,MODIS,63,6.1NRT,278.29,16.44,D
USA,30.41029,-84.35326,317.52,1.29,1.13,2025-01-09,1543,Terra,MODIS,73,6.1NRT,280.77,26.68,D
USA,30.53238,-86.09968,313.78,1.07,1.03,2025-01-09,1543,Terra,MODIS,74,6.1NRT,279.96,17.58,D
USA,31.12753,-87.13809,310.06,1.01,1.0,2025-01-09,1543,Terra,MODIS,69,6.1NRT,276.63,14.12,D
USA,31.3077,-84.1659,303.48,1.27,1.12,2025-01-09,1543,Terra,MODIS,56,6.1NRT,277.68,12.72,D
USA,31.30992,-84.17877,304.87,1.27,1.12,2025-01-09,1543,Terra,MODIS,60,6.1NRT,277.68,13.81,D
USA,31.91327,-81.79398,308.73,1.72,1.29,2025-01-09,1543,Terra,MODIS,68,6.1NRT,276.91,28.74,D
USA,33.0318,-83.43977,307.17,1.3,1.13,2025-01-09,1543,Terra,MODIS,65,6.1NRT,276.29,17.55,D
USA,33.69557,-82.74561,300.73,1.39,1.17,2025-01-09,1543,Terra,MODIS,41,6.1NRT,274.99,13.69,D
USA,25.48416,-80.55851,325.8,2.93,1.63,2025-01-09,1545,Terra,MODIS,79,6.1NRT,288.84,110.19,D
USA,25.48681,-80.55106,324.36,2.93,1.63,2025-01-09,1545,Terra,MODIS,77,6.1NRT,288.51,108.69,D
USA,25.49249,-80.57865,313.26,2.91,1.63,2025-01-09,1545,Terra,MODIS,57,6.1NRT,287.85,60.27,D
USA,26.68601,-80.70268,306.19,2.68,1.57,2025-01-09,1545,Terra,MODIS,43,6.1NRT,286.89,29.51,D
USA,26.69327,-80.70617,312.48,2.68,1.57,2025-01-09,1545,Terra,MODIS,63,6.1NRT,287.59,51.68,D
USA,26.72635,-81.34225,322.09,2.41,1.5,2025-01-09,1545,Terra,MODIS,81,6.1NRT,288.14,73.27,D
USA,26.73602,-81.33335,319.42,2.41,1.5,2025-01-09,1545,Terra,MODIS,79,6.1NRT,288.05,59.47,D
USA,26.87504,-81.83201,331.6,2.2,1.44,2025-01-09,1545,Terra,MODIS,87,6.1NRT,288.51,102.32,D
USA,26.87916,-81.85313,343.93,2.19,1.44,2025-01-09,1545,Terra,MODIS,93,6.1NRT,289.21,162.73,D
USA,32.5937,-116.35831,303.28,1.39,1.17,2025-01-09,1721,Terra,MODIS,55,6.1NRT,286.48,9.82,D
USA,34.06307,-118.68077,318.08,2.03,1.39,2025-01-09,1721,Terra,MODIS,72,6.1NRT,294.57,38.74,D
USA,34.06631,-118.67251,327.24,2.03,1.39,2025-01-09,1721,Terra,MODIS,85,6.1NRT,295.93,63.71,D
USA,34.06945,-118.61375,325.73,2.01,1.38,2025-01-09,1721,Terra,MODIS,84,6.1NRT,294.43,58.67,D
USA,34.07323,-118.60709,324.8,2.01,1.38,2025-01-09,1721,Terra,MODIS,83,6.1NRT,292.81,55.07,D
USA,34.07806,-118.57262,332.13,2.0,1.38,2025-01-09,1721,Terra,MODIS,88,6.1NRT,293.62,77.09,D
USA,34.07997,-118.59358,337.57,2.0,1.38,2025-01-09,1721,Terra,MODIS,91,6.1NRT,292.29,100.63,D
USA,34.082,-118.56521,341.14,2.0,1.38,2025-01-09,1721,Terra,MODIS,92,6.1NRT,294.33,112.95,D
USA,34.08378,-118.58615,365.75,2.0,1.38,2025-01-09,1721,Terra,MODIS,100,6.1NRT,297.53,273.08,D
USA,34.08871,-118.50024,310.78,1.98,1.37,2025-01-09,1721,Terra,MODIS,50,6.1NRT,292.22,22.08,D
USA,34.0905,-118.52099,361.5,1.98,1.37,2025-01-09,1721,Terra,MODIS,100,6.1NRT,300.18,239.16,D
USA,34.09222,-118.54095,399.42,1.99,1.38,2025-01-09,1721,Terra,MODIS,100,6.1NRT,305.59,674.68,D
USA,34.09406,-118.56226,382.44,2.0,1.38,2025-01-09,1721,Terra,MODIS,100,6.1NRT,297.15,438.74,D
USA,34.10258,-118.51885,363.22,1.98,1.37,2025-01-09,1721,Terra,MODIS,100,6.1NRT,299.83,253.16,D
USA,34.10434,-118.53909,391.41,1.99,1.38,2025-01-09,1721,Terra,MODIS,100,6.1NRT,307.09,557.25,D
USA,34.20885,-118.07253,413.51,1.86,1.33,2025-01-09,1721,Terra,MODIS,100,6.1NRT,299.67,834.22,D
USA,34.21069,-118.09347,386.45,1.87,1.34,2025-01-09,1721,Terra,MODIS,94,6.1NRT,292.85,433.5,D
USA,34.21191,-118.05762,351.2,1.86,1.33,2025-01-09,1721,Terra,MODIS,93,6.1NRT,294.16,140.75,D
USA,34.21245,-118.11355,368.1,1.87,1.34,2025-01-09,1721,Terra,MODIS,94,6.1NRT,286.29,266.19,D
USA,34.21399,-118.07937,425.16,1.86,1.33,2025-01-09,1721,Terra,MODIS,100,6.1NRT,309.66,1069.51,D
USA,34.2158,-118.09854,417.23,1.87,1.34,2025-01-09,1721,Terra,MODIS,100,6.1NRT,303.37,909.25,D
USA,34.21635,-118.15831,305.5,1.89,1.34,2025-01-09,1721,Terra,MODIS,28,6.1NRT,284.52,15.25,D
USA,34.21777,-118.11939,369.25,1.87,1.34,2025-01-09,1721,Terra,MODIS,100,6.1NRT,288.63,275.9,D
USA,34.22039,-118.0684,419.73,1.86,1.33,2025-01-09,1721,Terra,MODIS,100,6.1NRT,304.21,964.6,D
USA,34.22397,-118.10873,423.56,1.87,1.34,2025-01-09,1721,Terra,MODIS,100,6.1NRT,301.47,1061.93,D
USA,34.23202,-118.06522,346.99,1.86,1.33,2025-01-09,1721,Terra,MODIS,95,6.1NRT,288.49,131.02,D
USA,34.23383,-118.08553,411.83,1.87,1.34,2025-01-09,1721,Terra,MODIS,100,6.1NRT,299.5,821.03,D
USA,42.87638,-124.40611,301.84,2.38,1.49,2025-01-09,1857,Terra,MODIS,49,6.1NRT,287.21,20.29,D
USA,41.01759,-123.95339,307.72,2.86,1.61,2025-01-09,1900,Terra,MODIS,66,6.1NRT,286.14,45.24,D
USA,25.98321,-81.06517,311.84,2.71,1.58,2025-01-09,1902,Aqua,MODIS,72,6.1NRT,288.46,44.72,D
USA,25.98865,-81.03944,301.5,2.7,1.57,2025-01-09,1902,Aqua,MODIS,15,6.1NRT,289.86,16.12,D
USA,25.99157,-81.06262,332.33,2.71,1.58,2025-01-09,1902,Aqua,MODIS,85,6.1NRT,291.12,131.05,D
USA,25.99683,-81.06868,342.47,2.71,1.58,2025-01-09,1902,Aqua,MODIS,93,6.1NRT,292.69,199.33,D
USA,26.00224,-81.04294,333.98,2.7,1.57,2025-01-09,1902,Aqua,MODIS,89,6.1NRT,291.43,140.15,D
USA,26.00518,-81.06618,357.95,2.71,1.58,2025-01-09,1902,Aqua,MODIS,99,6.1NRT,293.88,340.67,D
USA,26.01041,-81.04037,315.95,2.7,1.57,2025-01-09,1902,Aqua,MODIS,50,6.1NRT,290.74,53.31,D
USA,26.01045,-81.07221,339.63,2.71,1.58,2025-01-09,1902,Aqua,MODIS,92,6.1NRT,292.51,179.16,D
USA,26.28831,-80.9487,307.79,2.62,1.55,2025-01-09,1902,Aqua,MODIS,66,6.1NRT,290.13,33.18,D
USA,26.28944,-80.9686,305.2,2.63,1.56,2025-01-09,1902,Aqua,MODIS,61,6.1NRT,290.87,27.05,D
USA,26.29453,-80.94354,303.46,2.62,1.55,2025-01-09,1902,Aqua,MODIS,56,6.1NRT,290.51,22.51,D
USA,26.35729,-80.88815,306.68,2.58,1.54,2025-01-09,1902,Aqua,MODIS,21,6.1NRT,288.59,25.5,D
USA,26.36235,-80.86353,357.33,2.57,1.54,2025-01-09,1902,Aqua,MODIS,99,6.1NRT,290.51,313.65,D
USA,26.37566,-80.86699,323.86,2.57,1.54,2025-01-09,1902,Aqua,MODIS,83,6.1NRT,289.11,87.39,D
USA,26.46576,-80.54305,354.62,2.43,1.5,2025-01-09,1902,Aqua,MODIS,98,6.1NRT,297.7,257.63,D
USA,26.46953,-80.53912,359.41,2.43,1.5,2025-01-09,1902,Aqua,MODIS,99,6.1NRT,296.43,301.11,D
USA,26.47056,-80.5199,331.94,2.42,1.5,2025-01-09,1902,Aqua,MODIS,88,6.1NRT,294.35,107.35,D
USA,26.47416,-80.51592,308.98,2.42,1.5,2025-01-09,1902,Aqua,MODIS,68,6.1NRT,293.93,24.78,D
USA,26.50755,-80.88029,323.84,2.56,1.54,2025-01-09,1902,Aqua,MODIS,83,6.1NRT,292.17,78.3,D
USA,26.51552,-80.88919,347.51,2.56,1.54,2025-01-09,1902,Aqua,MODIS,95,6.1NRT,294.52,222.27,D
USA,26.5206,-80.86474,320.95,2.55,1.54,2025-01-09,1902,Aqua,MODIS,81,6.1NRT,291.4,69.14,D
USA,26.68029,-80.48393,307.77,2.38,1.49,2025-01-09,1902,Aqua,MODIS,45,6.1NRT,294.33,23.22,D
USA,26.68201,-80.46535,311.51,2.37,1.49,2025-01-09,1902,Aqua,MODIS,71,6.1NRT,291.65,35.06,D
USA,26.6848,-80.46114,310.48,2.37,1.49,2025-01-09,1902,Aqua,MODIS,68,6.1NRT,291.68,29.98,D
USA,26.73019,-81.33533,310.92,2.73,1.58,2025-01-09,1902,Aqua,MODIS,44,6.1NRT,292.7,39.55,D
USA,27.1133,-81.66476,302.01,2.82,1.6,2025-01-09,1902,Aqua,MODIS,50,6.1NRT,290.26,19.7,D
USA,27.31685,-82.0898,303.39,2.99,1.64,2025-01-09,1902,Aqua,MODIS,56,6.1NRT,291.52,22.44,D
USA,27.36535,-82.07289,304.54,2.97,1.64,2025-01-09,1902,Aqua,MODIS,59,6.1NRT,290.45,26.36,D
USA,27.3678,-82.08083,300.89,2.97,1.64,2025-01-09,1902,Aqua,MODIS,43,6.1NRT,290.77,17.27,D
USA,27.54482,-81.38976,301.7,2.63,1.56,2025-01-09,1902,Aqua,MODIS,49,6.1NRT,288.58,20.01,D
